adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,optional4
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,
Afghanistan,AFG,66.026881,33.831602,19.08.2021,"<a href=""https://www.gov.uk/foreign-travel-advice/afghanistan"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://af.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
  <a href=""https://moph.gov.af/en/all-news"">Ministry of Public Health</a>/","Latest News:
 <br>
  <br>
International Restrictions:<br>
*Entry to Afghanistan: Commercial flights are no longer operating to and from Kabul. There are no inbound options to travel to the country. The situation on the ground is very dangerous and changing rapidly.
 <br>
  <br>
Internal Restrictions: <br>
*Travel in Afghanistan: Healthcare in Afghanistan is very limited. Medical facilities, including those in Kabul, do not have the capacity or capability to effectively deal with the COVID-19 outbreak. The supply of ICU beds and ventilators is low. There are areas which have no medical facilities with ICU beds and ventilators.<br>
There is no guarantee that any local health care will be available in the current security situation. Whilst an estimated 30 per cent of the population had been exposed to COVID-19 by June 2020, WHO warns that widespread complacency and failure to follow public health advice is creating grave risks in the community with people generally not observing physical distancing or mask-wearing protocols.
",20210819,"No declared requirement.<br>

There are no inbound options to travel to the country. <br>                                                                                                                                                                                                                                              ","COVID-19 negative certification required for entering the country. <br>

There are no inbound options to travel to the country.<br>",
Akrotiri,xUK,32.923365,34.638024,,,,,,,
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,
Åland Islands,ALA,19.80946,60.15449,,,,,,,
Albania,ALB,20.066643,41.138926,08.09.2021,"<a href=""https://www.gov.uk/foreign-travel-advice/albania"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
 <a href=""https://infocoronavirus2019.al/"">Institute of Public Health</a>/","Latest news: 
<br>
<br>
International Restrictions:<br>
* Entry rules in response to coronavirus (COVID-19): All land borders are open. However neighbouring countries may have different entry and exit restrictions on their side of the border. You should check before travelling. <br>
Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans. If you need further information about entry requirements, contact the local immigration authorities or the nearest Albanian Embassy/Consulate. You should also check with your airline or travel company for the latest information. <br>
*Entering Albania: foreign nationals, aged six and above, travelling to Albania, must demonstrate one of the following:<br>
•        proof of COVID-19 vaccination. The second/final dose of vaccine must have been administered at least 14 days before arrival. <br>
•        negative PCR COVID-19 test performed up to 72 hours ahead of arrival<br>
•        rapid Antigen (COVID-19) test performed no more than 48 hours ahead of arrival<br>
•        evidence proving that you have recovered from COVID-19 within the last six months<br>
These requirements also apply to those travellers who transit through Albania. Those who cannot provide such evidence may not be granted entry to Albania. For more detailed information, check the information provided by the <a href=""https://punetejashtme.gov.al/en/information-on-the-movement-of-foreign-nationals-in-albania"">Albanian Ministry for Europe and Foreign Affairs</a>.<br>
All passengers who are allowed to enter the territory of the Republic of Albania, in addition to complying with the protocols of airline international standards worldwide, must also adhere to the rules listed below:<br>
•        only travelling passengers can enter the airport building<br>
•        passengers must maintain social distancing of 1.5 meters during their entire time in the airport<br>
•        priority is given to the elderly, people in need and families with minor children<br>
•        for more information, see the <a href=""https://www.tirana-airport.com/c/116/measures-and-rules/"">Tirana International Airport website</a><br>
*Demonstrating your COVID-19 vaccination status
Albania will accept the proof of COVID-19 recovery and vaccination record. Your appointment card from vaccination centres is not designed to be used as proof of vaccination and should not be used to demonstrate your vaccine status. <br>
*Quarantine and testing requirements if you’re travelling to neighbouring countries from Albania: If you are a foreing national travelling from Albania to Kosovo, you must provide a negative RT-PCR test that is less than 72 hours old or a serological antibody test less than 30 days old or a positive RT-PCR test between 21 and 180 days old, or evidence of a vaccination. British nationals transiting through Kosovo who leave within 3 hours of arrival are exempt, as are British nationals passing through Kosovo by organised transport (ie regular bus line), provided they leave within 5 hours. <br>
If you are a foreign national travelling from Albania to North Macedonia you must provide a full vaccination certificate, or a negative PCR test taken within 72 hours before arrival or a certificate of recovery from Covid-19 in the last 45 days. Transit through North Macedonia within 5 hours will be possible by signing a statement at the border. <br>
If you are a foreign national travelling from Albania to Montenegro you must provide at least one of the following: a negative PCR test taken within 72 hours of travel, a negative rapid antigen test recognized by the European Commission issued by an authorised laboratory and taken within 48 hours of the time of entering Montenegro, a positive PCR test or rapid antigen test issued by a registered laboratory, which is older than 14 days and not older than 90 days from the day of arrival at the Montenegrin border, demonstrating recovery from COVID-19 infection or proof of having received either one or two doses of a vaccine against COVID-19 (see ‘Demonstrating your COVID-19 vaccination status’). Children under the age of 5 do not require a test or proof of vaccination to enter Montenegro. <br>
If you are a British national travelling from Albania to Greece you can enter it only by the following land borders: Kakavia and Qafë-Botë. Travellers must fill in a Passenger Locator Form (PLF) no later than 11:59pm (Greek local time) on the day before arriving in Greece. You must provide either: proof of a negative COVID-19 PCR test, undertaken within the 72 hour period before arrival into Greece; proof of a negative COVID-19 rapid antigen test from an authorized laboratory, undertaken within the 48 hour period before the scheduled flight; or proof of two COVID-19 vaccinations (i.e. complete vaccine) completed at least 14 days before travel. Travellers with proof of either are exempted from the need to self-isolate on arrival in Greece. Failure to provide proof of either will likely result in the Greek authorities refusing you permission to enter Greece. <br>
 <br>
 <br>
Internal Restrictions:<br>
*Moving around in Albania: If you’re in Albania, you should adhere to instructions and follow the advice of the local authorities. <br>
The wearing of face masks is mandatory only indoors and whilst using public transport. Since 1 September, a night time curfew from 11pm to 6am is in place. Other than the night-time curfew, there are currently no restrictions on movement within Albania. Public transport and taxis are operating as normal.<br>
*Public places and businesses: Bars and restaurants must close by 11pm as per the curfew. However, delivery services remain available.
Night clubs remain closed. Outdoor gatherings of up to 50 people are allowed, provided the <a href=""http://www.ishp.gov.al/"">Institute of Public Health Albania rules</a> are followed.
Sports championships, theatre, artistic and cultural performances, and conferences, are allowed with audiences but with a reduced capacity of up to 30% according to IPH protocols. <br>
*If you test positive for COVID-19, you may need to stay where you are until you test negative. You may also need to seek treatment there.




",20210908,"Self Isolation- subject to origin.<br>

Albania does not require inbound travelers to quarantine upon entry. Quarantine will only apply in specific cases when ordered by health authorities. Effective September 1, travelers failing to provide proof of negative test results, vaccination, or recovery certificates will be mandated to enter a 10-day self-isolation period.","COVID-19 negative certification not required / not known.
Foreign nationals, aged six and above, travelling to Albania, must demonstrate one of the following:<br>
•        proof of COVID-19 vaccination. The second/final dose of vaccine must have been administered at least 14 days before arrival. <br>
•        negative PCR COVID-19 test performed up to 72 hours ahead of arrival<br>
•        rapid Antigen (COVID-19) test performed no more than 48 hours ahead of arrival<br>
•        evidence proving that you have recovered from COVID-19 within the last six months<br>
If one of the aforementioned requirements is not provided, then the individual will undergo a mandatory 10-day self-isolation period.","Foreign nationals who are resident in Albania and are travelling to Montenegro are exempt from the requirement for a test or proof of vaccination, but only if they enter Montenegro from that country and have not travelled elsewhere in the last 14 days. If you are a foreign national travelling to North Macedonia from Albania, there is no requirement to self-isolate or provide a PCR test upon entry to North Macedonia."
Algeria,DZA,2.678028,28.157361,22.10.2021,"<a href=""https://www.gov.uk/foreign-travel-advice/algeria"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://dz.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
 <a href=""http://covid19.cipalgerie.com/en/"">International Press Centre</a>/
WFP Sources.","Latest News: 
  <br>
  <br>
 International Restrictions: <br>
*Entry to Algeria: Air, land and sea borders are now partially open. <br>
You should check with the Algerian authorities for any entry requirements including exemptions. Previous restrictions on who could enter Algeria were removed on 1 June. <br>
Testing/screening on arrival: You should check with the Algerian authorities for any entry requirements including COVID testing. <br>
Following the partial reopening on 1 June, entry to Algeria by air requires evidence of a negative PCR test taken less than 36 hours before the time of arrival. By sea, you need evidence of a negative PCR test taken less than 48 hours before the time of arrival. You should have a printed paper copy of your results. All travellers will also have to complete an antigen test on arrival in Algeria. Antigen tests must be paid for in cash. All travellers must bring sufficient cash with them as there are no opportunities to withdraw cash before the antigen test. Payment must be made of either 10 Euros, 12 US Dollars, or 1,600 Algerian Dinar. <br>
You should arrange to take a private test.Temperature checks may be undertaken on arrival. <br>
*Quarantine requirements: Check with the Algerian authorities for any entry requirements including quarantine requirements. <br>
*Data collection: Contact details are taken on arrival in country, including address. <br>
<br><br>
Internal Restrictions: <br> 
*Travel in Algeria: Travel between provinces is now permitted though public transport options remain limited. <br>
Since 1 July 2020, local authorities nationwide have powers to enact additional measures in cluster areas, with the approval of central authorities. As a result, localised lockdowns are possible, and markets and other areas with a high concentration of shops could be shut down with limited notice for at least 15 days. <br>
All security services and local authorities have been instructed to rigorously monitor and enforce compliance with preventive and other social distancing measures. Penalties include fines up to the equivalent of £600, and 6 months imprisonment. The wearing of facemasks became mandatory on 24 May 2020 in all public spaces, including when using public transport, and within taxis. <br>
*Accommodation: Hotels are open, with compulsory sanitary measures in place; facilities may be restricted. <br>
*Public places and services: Recreational areas, beaches, cultural centres, sports facilities, restaurants, fast food outlets, cafes and most markets are open. Weddings, funerals and other large gatherings are banned. <br>
Primary schools, secondary schools and universities reopened in 2020, with additional COVID-19 measures in place. The 2021 to 22 school year began on 21 September. Universities re-opened in October. 








",20211022,"Quarantine requirement at government designated site or own accomodation.<br>

Mandatory quarantine is no longer in place. Check with the Algerian authorities for any entry requirements including quarantine requirements.","COVID-19 negative certification required for entering the country.<br>

Entry to Algeria requires evidence of a negative PCR test taken less than 36 hours before the date of arrival. By sea, you need evidence of a negative PCR test taken less than 48 hours before the time of arrival. You should have a printed paper copy of your results. All travellers will also have to complete an antigen test on arrival in Algeria. ",
American Samoa,ASM,-170.71806,-14.300686,29.07.2020,"<a href=""https://www.americansamoa.gov/immigration-info"">American Samoa Immigration</a>/","Latest News: 
 <br>
 <br>
International Restrictions:<br>
*Travel into American Samoa: To prevent the spread of coronavirus, American Samoa currently requires all non-US passport holders to spend at least 14 days in Hawaii, Samoa (Apia) or Tonga before entering. Other restrictions for those travelling from countries affected by the outbreak could also be in force. If you’re due to travel, check the American Samoa Government <a href=""https://www.americansamoa.gov/"">website</a> and the US Center for Disease Control and Prevention <a href=""https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa?s_cid=ncezid-dgmq-travel-single-001"">website</a>, and check with your airline before leaving. You should also check with your airline or travel agent for any additional information about existing travel bookings.
 <br>
 <br>
Internal Restrictions: <br>
*Travel within American Samoa: Social distancing methods are to be encouraged such as video conferencing, phone calls, emails for communication. All off-island medical referrals to New Zealand are suspended. The option will be considered only for medical emergencies and be at the discretion of LBJ physicians. All public gatherings are suspended until further notice. This includes, but is not limited to, bingo halls, rallies, political events, theaters, traditional gatherings, parks and recreation areas, flight night gatherings, and major sponsored events. Only private family gatherings of no more than ten (10) people will be permitted. DPS is tasked with ensuring that public gatherings disperse. All businesses will only be allowed to operate from 6am to 6pm. Only those businesses that impact food security are exempted from operating hours restrictions. Restaurants, bars, and nightclubs will be limited to no more than ten (10) person occupancy. Businesses are encouraged to keep their facilities sanitized. All drive-thru and takeaway restaurants may remain open until 10:00 pm daily. Further advisories will be issued from the Governor that may adjust restrictions on businesses as necessary. All public transportation services are to cease operations at 6pm except for buses under contract with Starkist to provide transportation for employees of the canneries.During hours of operation, buses and taxis must institute social distancing practices. Each bus and taxi may only operate at half the seating capacity.",20200729,"Quarantine Requirement outside territory. <br>

Citizens holding a non-US passport will be required to quarantine for 14 days in Hawaii, Tonga, or Samoa (Apia) before entering the territory.",COVID-19 negative certification required for entering the country,
Andorra,AND,1.576279,42.545479,27.10.2021,"<a href=""https://www.gov.uk/foreign-travel-advice/andorra"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/","Latest News: 
 <br>
 <br>
International Restrictions: <br>
*Entry rules in response to coronavirus (COVID-19): All travel into Andorra requires transit via neighbouring France or Spain. You should check the entry requirements for each country in conjunction with this travel advice. The Andorran Government advises that people returning to Andorra from the United Kingdom must follow the COVID related safety measures outlined below until further notice. <br>
Passengers arriving from UK are not required to provide any health certification upon arrival in Andorra. All travellers are advised by Andorran authorities to take preventive measures (including social distancing, hands sanitation and wearing masks) and to minimise social interactions. <br>
For further information, visit the  <a href=""https://visitandorra.com/en/covid-19-in-andorra/"">Andorra COVID information page.</a> 
<br>
<br>
Internal Restrictions: <br> 
*Travel in Andorra: The Andorran authorities have various restrictions in place including social distancing of 1.5m unless specific protocols are in place. The use of a mask is not mandatory in public spaces and on urban roads, provided that there are no crowds of people that do not allow you to maintain the minimum distance of 1.5 meters. The use of face mask is mandatory in enclosed public premises such as bars, restaurants, shops and cultural establishments, among others. All people over eight years old are required to wear masks.<br>
Only groups of up to 10 people are able to meet, including in private spaces, with a limit of 8 inside bars and restaurants. Limits to capacity are also in place in shops and other places of interest, and you should follow the instructions displayed locally. Similar restrictions are in place in gyms and sports centres. Smoking is not permitted in any public area.<br>
You can find more information regarding the measures in place on the <a href=""https://visitandorra.com/en/covid-19-in-andorra/"">Andorran government website</a>.


",20211027,Home isolation is required until COVID test results are received.,"COVID-19 negative certification required for entering the country.<br>

All travel into Andorra requires transit via neighbouring France or Spain. You should check the entry requirements for each country in conjunction with this travel advice. The Andorran Government advises that people returning to Andorra from the United Kingdom must follow the COVID related safety measures outlined below until further notice. <br>
",
Angola,AGO,17.577532,-12.337524,06.09.2021,"<a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
  <a href=""https://ao.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.gov.uk/foreign-travel-advice/angola"">Foreign travel advice, Gov.UK</a>/
  <a href=""https://governo.gov.ao/ao/"">Ministry of Health</a>/","Latest News: 
  <br>
  <br>
International Restrictions: <br>
*Entry to Angola: There are a number of indirect commercial flights to Angola from the UK operated by TAP Air Portugal, Lufthansa, Air France and Emirates. <br>
Angola has banned entry to arrivals from Brazil and India, with exceptions for Angolan nationals and those with residence permits who must go into mandatory quarantine on arrival at a government facility. <br>
*Advance passenger information requirement: All passengers are required to show evidence of a negative COVID-19 PCR test completed 72 hours before travel to Angola: All passengers are required to <a href=""https://viagem.covid19.gov.ao/en/ "">complete an Advance Passenger Information form  </a> (FRV form) 72 hours before travel to Angola. Several travel documents must be uploaded onto the form in PDF format to be accepted before entry to Angola. <br>
Angola has banned entry to arrivals from Brazil and India, with exceptions for Angolan nationals and those with residence permits who must go into mandatory quarantine on arrival at a government facility. <br>
*Testing prior to arrival and departure: From 16 January, all air passengers are required to undergo a rapid COVID-19 test immediately on disembarking the plane. This is currently free of charge, which is undertaken in a hangar at the airport, but can take time. Passengers arriving in Angola, should carry water and a refreshment in case there is a long wait. <br>
Those receiving a negative result will be allowed entry and can continue through immigration. You will need to undertake compulsory self-quarantine for 7 days before undergoing a further COVID-19 test. Those receiving a positive COVID-19 result will go immediately into mandatory quarantine at a government facility for observation and further testing. <br>
All passengers are required to show evidence of negative COVID-19 test completed 72 hours before departure from Angola. <br>
*Quarantine requirements: On 31 August, the Angolan government announced that passengers who can show proof of a full COVID-19 vaccination (ie two doses) and who test negative on disembarkation will be exempt from quarantine on arrival. <br>
All other passengers will need to undertake compulsory self-quarantine for at least 7 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. You must spend at least 7 days in quarantine before being tested. On arrival, health officials at the airport will issue a handout with contacts to your local health centre where you can get tested. On receipt of a negative PCR test, a Titulo De Alta (ALTA) will be issued by the health centre to authorise the end of quarantine. <br>
Those testing positive on arrival can isolate at home if asymptomatic, but those showing symptoms may be required to go into mandatory quarantine at a government facility. <br>
<br>
<br>
Internal Restrictions: <br>
 *Travel in Angola: Travel around the country is permitted, but the Angolan government has imposed a number of restrictions and public health measures to limit the spread of the virus: <br>
•        you are encouraged to stay at home, particularly between midnight and 5am. <br>
•        you should work remotely and practise social distancing <br>
•        face masks are compulsory in all enclosed public areas including public transport, shops, and educational facilities. Immediate on-the-spot fines will be issued for non-compliance <br>
•        higher fines will be imposed for breaching a number of restrictions <br>
*Accommodation: Hotels and private rentals continue to operate with some restrictions and coronavirus precautionary measures in place. You should contact your accommodation provider before booking to confirm what restrictions are in place. <br>
*Public places and services: The majority of shops, banks, restaurants and markets continue to operate, with some restrictions (e.g. reduced opening hours). COVID-19 precautionary measures are in place including capacity limits for public transport and funerals. There are limits on the numbers allowed to do collective sports. Public beaches will reopen on 15 September. <br>
*If you test positive for COVID-19 in Angola before returning to your country , you must self-isolate in private accommodation or in a hotel, for 10 days. If you are visiting and staying in a hotel, you may be asked to self-isolate in your room. <br>
If you test positive, the Angolan authorities may occasionally conduct wellbeing checks during the period of quarantine, to ensure self-isolation compliance. You are not permitted to leave your accommodation during self-isolation. Food and household essentials can be ordered online and will be delivered to your hotel room or private accommodation.

",20210906,"Quarantine requirement at government designated site. <br>

On 31 August, the Angolan government announced that passengers who can show proof of a full COVID-19 vaccination (ie two doses) and who test negative on disembarkation will be exempt from quarantine on arrival. <br>
All other passengers will need to undertake compulsory self-quarantine for at least 7 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. You must spend at least 7 days in quarantine before being tested.

","COVID-19 negative certification required for entering the country.<br>

All passengers are required to show evidence of a negative COVID-19 PCR test completed 72 hours before travel to Angola: All passengers are required to <a href=""https://viagem.covid19.gov.ao/en/ "">complete an Advance Passenger Information form  </a> (FRV form) 72 hours before travel to Angola. Several travel documents must be uploaded onto the form in PDF format to be accepted before entry to Angola. ",
